TwitchCategoryId,Language,Name,Synopsis,Summary,Source,IGDBId
33214,,Fortnite,,"Fortnite is the living, action building game from the developer formerly known as Epic MegaGames. You and your friends will lead a group of Heroes to reclaim and rebuild a homeland that has been left empty by mysterious darkness only known as ""the Storm"". 
 
Band together online to build extravagant forts, find or build insane weapons and traps and protect your towns from the strange monsters that emerge during the Storm. In an action experience from the only company smart enough to attach chainsaws to guns, get out there to push back the Storm and save the world. And don't forget to loot all the things.",,1905
518184,de,Phasmophobia,,Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and it’s up to you and your team to use all the ghost hunting equipment at your disposal in order to gather as much evidence as you can.,steam,132516
29635,de,Far Cry 3,,Discover the dark secrets of a lawless island ruled by violence and take the fight to the enemy as you try to escape. You’ll need more than luck to escape alive!,steam,529
490422,,StarCraft II,,"In the distant future, in the darkest reaches of space, the ghosts of the past whisper your name. You are Jim Raynor, a marshal-turned-rebel on a vigilante crusade to bring down the Dominion and its nefarious leader, Arcturus Mengsk. Haunted by betrayal and remorse, some believe you may have given up the fight. But you have promises to keep… and a need for vengeance that’s long overdue.",,239
30921,de,Rocket League,,"Fußball und Autofahren treffen wieder aufeinander in der lang erwarteten, physikbasierten Fortsetzung zum beliebten Arena-Klassiker Supersonic Acrobatic Rocket-Powered Battle-Cars!",steam,11198
65654,de,The Elder Scrolls Online,,"Geselle dich im preisgekrönten Online-Mehrspieler-RPG zu 18 Millionen Spielern und erlebe grenzenlose Abenteuer in einer beeindruckenden „Elder Scrolls“-Welt. Schlagt Schlachten, betreibt ein Handwerk, stehlt, erobert, entdeckt und findet euren eigenen Spielstil.",steam,1081
12839,,Heroes of Might and Magic III: The Restoration of Erathia,,"Heroes of Might and Magic III: The Restoration of Erathia is a turn-based strategy game developed by Jon Van Caneghem through New World Computing originally released for Microsoft Windows by the 3DO Company in 1999. Its ports to several computer and console systems followed in 1999-2000. It is the third installment of the Heroes of Might and Magic series. The player can choose to play through seven different campaigns telling the story, or play in a scenario against computer or human opponents.
The gameplay is very similar to its predecessors in that the player controls a number of heroes that command an army of creatures inspired by myth and legend. The gameplay is divided into two parts, tactical overland exploration and a turn based combat system. The player creates an army by spending resources at one of the eight town types in the game. The hero will progress in experience by engaging in combat with enemy heroes and monsters. The conditions for victory vary depending on the map, including conquest of all enemies and towns, collection of a certain amount of a resource, or finding the grail artifact.",,364
386821,de,Black Desert Online,,"Black Desert Online ist ein Sandbox-MMORPG mit einer detaillierten Welt. Erlebt schnelle actionreiche Kämpfe, besiegt riesige Bosse, nehmt mit Eurer Gilde an Posten- und Eroberungskriegen teil oder aber feilt an Euren Arbeitstalenten, wie zum Beispiel Fischfang, Handel, Kochen und vieles mehr!",steam,6292
459931,,Old School RuneScape,,Relive the challenging levelling system and risk-it-all PvP of the biggest retro styled MMO. Play with millions of other players in this piece of online gaming heritage where the community controls the development so the game is truly what you want it to be!,,79824
512121,,Yakuza: Like a Dragon,,"Become Ichiban Kasuga, a low-ranking yakuza grunt left on the brink of death by the man he trusted most. Take up your legendary bat and get ready to crack some underworld skulls in dynamic RPG combat set against the backdrop of modern-day Japan.",,36550
19554,de,iRacing,,"We are the world’s premier motorsports racing simulation/game. An iRacing.com membership provides entry into the newest form of competitive motorsport: internet racing. Internet racing is a fun, easy, and inexpensive way for race fans, simracers and gamers alike to enjoy the thrill of the racetrack from the comfort of their home.",steam,8204
512095,,Pascal's Wager,,"Pascal's Wager is an action role playing game with the style of dark fantasy. The game provides its players with top-notch picture quality and a feast for the senses that the mobile platform has never had before. In the game, the world is shrouded by dark mist, where light is dim and mysterious. People there become lunatic, and nobody knows the secrets behind that. 
 
Players can play multiple characters to experience the strong storyline and reveal various hidden areas of the map. Along the way, they will fight unbelievable enemies, confront epic bosses, and embrace overwhelming death and truth. All the while, they'll be engrossed by a magnificent soundtrack performed by a world-class orchestra.",,125912
504461,,Super Smash Bros. Ultimate,,"Legendary game worlds and fighters collide in the ultimate showdown—a new entry in the Super Smash Bros. series for the Nintendo Switch system! New fighters, like Inkling from the Splatoon series and Ridley from the Metroid series, make their Super Smash Bros. series debut alongside every Super Smash Bros. fighter in the series…EVER! Faster combat, new items, new attacks, new defensive options, and more will keep the battle raging whether you’re at home or on the go.",,90101
499881,de,Etherborn,,"Tauche ein in die Welt eines schwerkraftbasierten Puzzle-Plattformers. Erkunde die Umgebung und ihre einzigartige Schwerkraft. Du bist ein stimmloses Wesen, das gerade in diese Welt geboren wurde, in der eine körperlose Stimme bereits auf deine Ankunft wartet. Ziehe hinaus und finde deine Bestimmung.",steam,77529
517317,de,Boxman's Struggle,,What's better than climbing mountain in a cardboard box? Getting deep frustration every time you fall from it.,steam,129366
31339,de,Project Zomboid,,"Project Zomboid is the ultimate in zombie survival. Alone or in MP: you loot, build, craft, fight, farm and fish in a struggle to survive. A hardcore RPG skillset, a vast map, a massively customisable sandbox and a cute tutorial raccoon await the unwary. So how will you die?",steam,3189
515205,de,King of Retail,,"Congratulations on owning your very own store! Design your store layout. Buy and sell goods. Hire and manage your staff, take care of your customers and plan the perfect marketing campaign. Make yours the most popular store in town - but watch out, running a store is not as easy as it sounds!",steam,113053
511224,de,Apex Legends,,Apex Legends to wielokrotnie nagradzana darmowa strzelanka drużynowa Battle Royale od Respawn Entertainment. Wybieraj spośród coraz szerszej gamy legendarnych postaci obdarzonych potężnymi zdolnościami. Doświadcz drużynowej współpracy i innowacyjnej rozgrywki w przełomowej grze Battle Royale.,steam,114795
29307,de,Path of Exile,,"You are an Exile, struggling to survive on the dark continent of Wraeclast, as you fight to earn power that will allow you to exact your revenge against those who wronged you. Created by hardcore gamers, Path of Exile is an online Action RPG set in a dark fantasy world.",steam,1911
518023,,NBA 2K21,,"NBA 2K21 is the latest title in the world-renowned, best-selling NBA 2K series, delivering an industry-leading sports video game experience. With extensive improvements upon its best-in-class graphics and gameplay, competitive and community online features, and deep, varied game modes, NBA 2K21 offers one-of-a-kind immersion into all facets of NBA basketball and culture - where Everything is Game.",,134599
110758,,The Legend of Zelda: Breath of the Wild,,"In this 3D open-world entry in the Zelda series, Link is awakened from a deep slumber without his past memories in the post-apocalyptic Kingdom of Hyrule, and sets off on a journey to defeat the ancient evil Calamity Ganon. Link treks, climbs and glides through fields, forests and mountain ranges while meeting and helping friendly folk and defeating enemies in order to gather up the strength to face Ganon.",,7346
23020,,ROBLOX,,"Rōblox, stylized as RŌBLOX, is a massively multiplayer online game created and marketed toward children and teenagers aged 8–18. In the game, players are able to create their own virtual world, in which they or other members may enter and socialize within the blocks of varying shapes, sizes, and colors. Games on Roblox can be scripted using a sandboxed edition of Lua 5.1 to affect events that occur in-game and create different scenarios. The company's main source of revenue comes from players buying Robux, the main virtual currency in the game, and from players buying ""Builders Club"" access, a status which gives virtual benefits to users. Players who have created an account may purchase either Builders Club, Turbo Builders Club, or Outrageous Builders Club, otherwise known by users as BC, TBC, and OBC, respectively.",,17269
494131,de,Little Nightmares,,"Tauche mit Little Nightmares in eine düstere und skurrile Erzählung ein, die dich mit den Ängsten deiner Kindheit konfrontiert! Hilf Six bei der Flucht aus dem Schlund – einem riesigen, geheimnisvollen Areal, das von verdammten Seelen bewohnt wird, die sich nach ihrem nächsten Mahl...",steam,9174
489635,de,ARK: Survival Evolved,,"Stell dir vor, du strandest ohne Essen oder Kleidung auf einer geheimnisvollen Insel. Um zu überleben, musst du jagen, Früchte anpflanzen und ernten, Gegenstände herstellen und dir einen Unterschlupf bauen. Mit etwas Geschick und List kannst du Dinosaurier und andere urzeitliche Kreaturen in ARK erlegen oder zähmen, züchten und reiten.",steam,10239
7232,,Phoenix Wright: Ace Attorney − Trials and Tribulations,,"Phoenix Wright: Ace Attorney − Trials and Tribulations (known as Gyakuten Saiaban 3 in Japan) is the third game in the Ace Attorney series. Players take on the role of Phoenix Wright, a defense attorney known for taking on seemingly impossible cases. While the game focuses on a few specific cases, the overarching story of the Phoenix Wright franchise spans the length of the series, involving obscure characters from large families and intricate webs of lies, plots, and murder. The nature of the series remains generally lighthearted, something that's reinforced by its playful, anime-inspired visual style, but the nature of the crimes committed can be cold and downright disturbing. While the game's legal acumen is highly dubious, its aim seems to be more about producing comedic or stereotypically dramatic courtroom moments. Ace Attorney 3 makes light use of the DS touch screen, allowing the player to examine crime scenes and inspect evidence and character profiles. The top screen is used more for storytelling purposes, displaying various dialogue and conversations between characters. During these sequences the lower screen becomes a selection menu, displaying a series of questions to ask witnesses and further your investigation in search of evidence to use in defense of your client in each chapter.",,1428
1614555304,,Call Of Duty: Modern Warfare,,"Welcome to Warzone, the new massive free-to-play combat arena from the world of Modern Warfare®. Drop in, armor up, loot for rewards, and battle your way to the top.",,119177
497451,,Pokémon Sword/Shield,,"Unsheathe your sword and take up your shield! 
 
The world of Pokémon expands to include the Galar region in Pokémon Sword and Pokémon Shield!",,37382
505978,de,Awkward,,"At the end of the 1800s, the government declared a global ban on this legendary card game due to an increase in bar fights, divorces, and family feuds. It was political correctness gone mad.",steam,101238
510578,de,Mortal Kombat 11,,"Mortal Kombat ist zurück und besser als je zuvor, in dieser neuesten Entwicklung des Kult-Franchises.",steam,112916
65632,de,DayZ,,"Wie lange überlebst du in einer apokalyptischen Welt? Das Land wurde von Zombies überrannt. Du kämpfst mit anderen Überlebenden um Ressourcen. Schließt du dich mit Fremden zusammen, um zu überleben, oder wirst du niemandem vertrauen? Das ist DayZ – deine Geschichte.",steam,2117
18122,,World of Warcraft,,"World of Warcraft is a massively multiplayer online roleplaying game (MMORPG) set in the Warcraft universe. Players assume the roles of Warcraft heroes as they explore, adventure, and quest across a vast world. Being ""Massively Multiplayer,"" World of Warcraft allows thousands of players to interact within the same world. Whether adventuring together or fighting against each other in epic battles, players will form friendships, forge alliances, and compete with enemies for power and glory.",,123
508455,de,Valheim,,"Ein brutales 1-10 Spieler Multiplayer-Erkundungs- und Survivalspiel in einem prozedural generierten Fegefeuer inspiriert von der Kultur der Wikinger. Schreibe beim Kämpfen, Bauen und Erobern eine Saga, die Odins Gunst würdig ist.",steam,104967
488552,,Overwatch,,"In Overwatch, you control one of several heroes in competitive 6-person team shooting matches. Battle over objectives, take down the other team, and achieve victory. 
 
In Overwatch, heroes do battle in diverse locations around the world. From the technological marvel of Numbani to the manufacturing powerhouse of Volskaya, each map has a unique layout and specific win conditions that your team must meet in order to secure victory.",,8173
513181,,Genshin Impact,,"Genshin Impact is an open-world action RPG. In the world of Teyvat—where beliefs in “The Seven” converge—epic adventures await, fearless travelers!",,119277
24241,de,FINAL FANTASY XIV Online,,"Werde Teil eines epischen, sich stets verändernden FINAL FANTASY, und begib dich mit Freunden aus aller Welt auf Abenteuer und Entdeckungsreisen.",steam,386
73586,de,Outlast,,"Hell is an experiment you can't survive in Outlast, a first-person survival horror game developed by veterans of some of the biggest game franchises in history. As investigative journalist Miles Upshur, explore Mount Massive Asylum and try to survive long enough to discover its terrible secret... if you dare.",steam,1910
32982,de,Grand Theft Auto V,,"Grand Theft Auto V for PC offers players the option to explore the award-winning world of Los Santos and Blaine County in resolutions of up to 4k and beyond, as well as the chance to experience the game running at 60 frames per second.",steam,1020
506407,de,Gears 5,,"Ehren Sie die Helden aus Gears in Operation 6, jetzt erhältlich. Stürzen Sie sich mit drei neuen Charakteren ins Spiel, freuen Sie sich auf einen Einsatz und Multiplayer und viele mehr.",steam,103292
492934,de,Resident Evil 7 biohazard,,Gefahren und Isolation sickern aus den zerfallenden Wänden eines verlassenen Farmhauses im Süden Amerikas. „7“ stellt einen Neuanfang für Survival-Horror und einen Wechsel zur „isolierten Sicht“ dar. Der Horror aus der RE Engine erreicht neue Spitzen des Fotorealismus. Begib dich in die grauenerregende Welt des Horrors und überlebe.,steam,19562
32502,de,World of Warships,,"Erlebt in World of Warships epische Free-to-Play-Seeschlachten am Steuer eines von mehr als 300 historischen Schiffen in einer spannenden Kombination aus Strategie- und Echtzeitkampf. Stattet eure Flotte mit Flaggen, Tarnungen, Modifizierungen, talentierten Kapitänen und mehr aus!",steam,5587
490377,,Sea of Thieves,,"Be the pirate you want: With musket loaded and grog in hand, the freedom of the pirate life awaits. What will your legend be?  
  
An epic multiplayer adventure: Crew up and set sail on memorable voyages. Make and break your pirate’s code on the Sea of Thieves.  
  
A treacherous shared world: Plot your course and set sail for hidden riches. Navigate the perils of a fantastical world and the danger of rival crews.",,11137
493057,de,PLAYERUNKNOWN'S BATTLEGROUNDS,,PLAYERUNKNOWN'S BATTLEGROUNDS is a battle royale shooter that pits 100 players against each other in a struggle for survival. Gather supplies and outwit your opponents to become the last person standing.,steam,27789
518204,,FIFA 21,,"Win as One in EA SPORTSFIFA 21, powered by Frostbite. Whether it's on the streets or in the stadium, FIFA 21 has more ways to play than ever before - including the UEFA Champions League and CONMEBOL Libertadores.",,134101
502732,,Garena Free Fire,,"Free Fire - Battlegrounds is the ultimate survival shooter game available on mobile. Each 10-minute game places you on a remote island where you are pit against 50 other players, all seeking survival. Players freely choose their starting point with their parachute, and aim to stay in the safe zone for as long as possible. Drive vehicles to explore the vast map, hide in trenches, or become invisible by proning under grass. Ambush, snipe, survive, there is only one goal: to survive.",,87622
516575,,VALORANT,,"Imagine this: tactical shooter meets hypernatural powers. Everyone’s got guns and a unique set of abilities, so how do you beat someone with the speed of wind? Use your own moves to outplay them and beat them to the shot. VALORANT is a game for bold strategists who dare to make the unexpected play, because if it wins, it works.",,126459
2748,,Magic: The Gathering,,"Magic: The Gathering is a computer game published by MicroProse in April 1997 based on the collectible card game Magic: The Gathering. 
The game takes place in the plane of Shandalar, where the player must travel the land and fight random enemies to gain cards, and defeat five wizards representing the five colors. The player must prevent one color from gaining too much power, and defeat the planeswalker Arzakon, who has a deck of all five colors. Adventure game and role-playing game elements are present, including inventory, gold, towns, dungeons, random battles, and character progression in the form of new abilities and a higher life point total. An oversized version of Aswan Jaguar was included in the game box.",,12443
497497,,Brawl Stars,,Brawl Stars is a light weight MOBA where players are thrown into 3v3 real-time battles with other players across four different game modes.,,55945
369418,,GeoGuessr,,A game of simulated world travel and geographical knowledge. Players must pinpoint their location on a Google map after being placed in a random Street View location and allowed to move along connected roads.,,63350
263490,de,Rust,,"The only aim in Rust is to survive - Overcome struggles such as hunger, thirst and cold. Build a fire. Build a shelter. Kill animals. Protect yourself from other players.",steam,3277
791968461,,ALTF4,,3D 3rd Person Perma-Death Runner Game,,143759
29595,de,Dota 2,,"Jeden Tag stürzen sich weltweit Millionen Spieler als einer von über 100 Helden in die Schlacht, denn es gibt immer etwas Neues zu entdecken. Durch regelmäßige Aktualisierungen, welche Gameplay, Funktionen und Helden erweitern, entwickelt sich Dota 2 stetig weiter.",steam,2963
499003,de,VRChat,,"Join our growing community as you explore, play, and help craft the future of social VR. Create worlds and custom avatars. Welcome to VRChat.",steam,33615
497434,de,Total War: Warhammer II,,"In WARHAMMER®II, der Fortsetzung des preisgekrönten Spiels Total War™: WARHAMMER®, erleben Sie eine atemberaubende Kampagne der Erkundung, Expansion und Eroberung in der Neuen Welt.",steam,28028
21779,,League of Legends,,"League of Legends is a fast-paced, competitive online game that blends the speed and intensity of an RTS with RPG elements. Two teams of powerful champions, each with a unique design and playstyle, battle head-to-head across multiple battlefields and game modes. With an ever-expanding roster of champions, frequent updates and a thriving tournament scene, League of Legends offers endless replayability for players of every skill level.",,115
1247639610,,TV Total Events,,"Mit TV total Events kommen die beliebtesten Unterhaltungsshows des deutschen Fernsehens zu Ihnen ins Wohnzimmer: Bis zu vier Spieler treten bei den TV total Events Wok-WM, Stock Car Challenge, Turmspringen, Autoball-WM und Eisfußball-Pokal gegeneinander an oder raufen sich zu siegessicheren Teams zusammen. TV total Events ist für die ganze Familie und alle Altersgruppen geeignet. Durch einfache Bewegungs-Steuerung mit Wii Remote und Nunchuk ist Spielspaß für alle garantiert. Verschiedene Schwierigkeitsgrade halten für jeden Fun-Sportler die richtigen Herausforderungen bereit: Anfänger üben in der einfachen Eisröhre, Profis wagen sich in die Wok-Achterbahn mit Looping und Sprungschanze! Für die richtige Atmosphäre sorgen dabei die effektreiche Grafik und der witzige Comic-Look. Das Highlight sind aber mit Sicherheit die Original-Stimmen der populären Entertainer Stefan Raab und Elton!",,50998
19619,,Tibia,,"Tibia is one of the oldest and most successful massively multiplayer online role-playing games (MMORPG) created in Europe. In an MMORPG people from all over the world meet on a virtual playground to explore areas, solve tricky riddles and undertake heroic exploits.",,9596
27546,,World of Tanks,,"World of Tanks is a massively multiplayer online game featuring early to mid-20th century era fighting vehicles. It is built upon a freemium business model where the game is free-to-play, but participants also have the option of paying a fee for use of ""premium"" features. The focus is on player vs. player gameplay with each player controlling an armored vehicle, which may be a light, medium or heavy tank, tank destroyer, or self-propelled gun. World of Tanks debuted as an eSports game at the World Cyber Games 2012. 
 
The player takes control of a single armored vehicle of his or her choosing, and is placed into a battle on a random map. The player has control over the vehicle's movement, firing, and can communicate with other players through typed or voice chat, and several preset actions that give tactical instructions visible to only their team. The methods used to win a match are either destroying all vehicles on the opposing team or capturing a base present in some game modes. World of Tanks contains multiple game mechanics such as camouflage, shell ricochets, and module damage.",,1184
13389,,Age of Empires II,,"Take control of a powerful civilization. Lead them through 1000 years of the Middle Ages to riches and greatness. Will you Intimidate the world into following you by using military force? Rule the world with honor and nobility by using commerce and diplomacy? Or Underhandedly seize power through conspiracy, deception and regicide? There are many paths to power, there can only be one ruler! 
 
Features: 
 
* Travel through time as your civilization evolves from the Dark Age to the Imperial Age 
 
* Construct a rich and thriving empire by trading with allies 
 
* Control and lead military forces with tactical commands 
 
* Go into battle at the side of famous heroes such as Joan of Arc, Barbarossa or William Wallace",,327
508292,de,Bloons TD 6,,Extrem erfolgreiches Tower Defense Game,steam,103380
490744,de,Stardew Valley,,"Dein Großvater hat dir sein altes Farmgrundstück in Stardew Valley hinterlassen. Ausgestattet mit Werkzeugen, die ihre besten Tage hinter sich haben, und ein paar Münzen beginnst du ein neues Leben. Kannst du von dem leben, was dir das Land zu bieten hat und die überwucherten Felder zu einer blühenden Landschaft machen?",steam,17000
491931,,Escape From Tarkov,,Escape from Tarkov is a hardcore and realistic online first-person action RPG/Simulator with MMO features and story-driven walkthrough.,,15536
460630,de,Tom Clancy's Rainbow Six Siege,,"Tom Clancy's Rainbow Six Siege ist das nächste Spiel aus der hochgelobten First-Person-Shooter-Franchise, das vom rennomierten Ubisoft-Studio in Montreal entwickelt wird.",steam,7360
490147,de,Hollow Knight,,"Bahne dir in Hollow Knight, einem epischen Action-Adventure, deinen eigenen Weg durch ein riesiges Königreich voller Insekten und Helden. Erkunde verwinkelte Höhlen, kämpfe gegen verdorbene Kreaturen und mache dir bizarre Käfer zu deinen Verbündeten.",steam,14593
497057,de,Destiny 2,,"Destiny 2 ist ein Action-MMO mit einer einzigen, sich entwickelnden Welt, der ihr jederzeit und überall mit euren Freunden beitreten könnt.",steam,25657
2692,,Super Mario 64,,"The first three dimensional entry in the Mario franchise, Super Mario 64 follows Mario as he puts his broadened 3D movement arsenal to use in order to rescue Princess Peach from the clutches of his arch rival Bowser. Mario has to jump into worlds-within-paintings ornamenting the walls of Peach's castle, uncover secrets and hidden challenges and collect golden stars as reward for platforming trials.",,1074
27284,,Retro,,"Eight arcade classics 3D-fied. 
Includes: 
Bounce 'n Break 
Bubble Puzzle 
Gobbler 
Hopper 
Laser Command 
Light Racer 
Roids 
Galaxy Warz",,91473
510218,de,Among Us,,An online and local party game of teamwork and betrayal for 4-10 players...in space!,steam,111469
27471,,Minecraft,,"Minecraft focuses on allowing the player to explore, interact with, and modify a dynamically-generated map made of one-cubic-meter-sized blocks. In addition to blocks, the environment features plants, mobs, and items. Some activities in the game include mining for ore, fighting hostile mobs, and crafting new blocks and tools by gathering various resources found in the game. The game's open-ended model allows players to create structures, creations, and artwork on various multiplayer servers or their single-player maps. Other features include redstone circuits for logic computations and remote actions, minecarts and tracks, and a mysterious underworld called the Nether. A designated but completely optional goal of the game is to travel to a dimension called the End, and defeat the ender dragon.",,121
32399,de,Counter-Strike: Global Offensive,,"Counter-Strike: Global Offensive (CS: GO) poszerzy doświadczenie w rozgrywce drużynowej akcji, której seria ta utorowała drogę u swojego początku 12 lat temu. CS: GO zawiera nowe mapy, postacie i rodzaje broni oraz dostarcza zaktualizowane wersje klasycznej zawartości CS (de_dust2 itd.).",steam,1372
512864,de,Eternal Return: Black Survival,,"Eternal Return is a unique MOBA/Battle Royale/Survival mix that combines strategy, mechanics, and cool characters. Choose one of the ever growing cast of characters, take on Lumia Island as one of 18 players - either solo or with a team, and prove your strength, ability, and wit.",steam,135842
506456,de,Satisfactory,,"Satisfactory ist ein Fabrik-Aufbauspiel aus der Ego-Perspektive mit einer Prise Erkundung und Kampf. Spiele allein oder mit Freunden, erkunde einen fremden Planeten, baue mehrstöckige Fabriken und betrete den Fließbandhimmel!",steam,90558
32507,de,SMITE,,"Schließe dich über 35 Millionen SMITE-Spielern auf dem Schlachtfeld der Götter an! Schwinge Thors Hammer, verwandle deine Feinde als Medusa in Stein oder spiele als eine andere von über 100 Ikonen der Mythologie. Spiele noch heute Gott – völlig kostenlos!",steam,5607
517397,,PGA TOUR 2K21,,"Play against the pros. Play with your crew. In PGA TOUR 2K21, you can play by the rules or create your own featuring a new PGA TOUR Career Mode, licensed courses and more!",,133939
508509,,Codenames,,"The two rival spymasters know the secret identities of 25 agents. Their teammates know the agents only by their CODENAMES. 
 
The teams compete to see who can make contact with all of their agents first. Spymasters give one-word clues that can point to multiple words on the board. Their teammates try to guess words of the right color while avoiding those that belong to the opposing team. And everyone wants to avoid the assassin. 
 
Codenames: win or lose, it’s fun to figure out the clues.",,105254
496902,de,Slay the Spire,,"Wir haben Kartenspiele und Roguelikes vereint, um den bestmöglichen Singleplayer-Deckbauer zu erschaffen. Baue dein eigenes Deck, begegne bizarren Kreaturen, entdecke Relikte von unermesslicher Macht und kämpfe dich an die Spitze des Spires!",steam,40477
743,,Chess,,A straight forward chess game for the original PlayStation.,,9165
21465,,osu!,,"osu! is a freeware rhythm game originally for Microsoft Windows. It is written in C# on the .NET Framework. The game has also been ported to Mac OS X, iOS, and Android.",,3012
516086,de,Grounded,,"The world is a vast, beautiful and dangerous place – especially when you have been shrunk to the size of an ant. Can you thrive alongside the hordes of giant insects, fighting to survive the perils of the backyard?",steam,125624
458353,de,Darkest Dungeon,,"Darkest Dungeon ist ein anspruchsvolles, rundenbasiertes Gothic-Rollenspiel mit Roguelike-Elementen, bei dem es um die psychologischen Belastungen bei Abenteuern geht. Rekrutiere und trainiere eine Gruppe zusammengewürfelter Helden und führe sie durch düstere Wälder, vergessene Labyrinthe, Gruftruinen und mehr.",steam,8965
